Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
COCA_COLA,SPO_OMO;FARTRIGO_RENATA;0,0109;0,3412;5,6382;0,0090;1,4261;0,2807;9,5926;3,9037;
COCA_COLA,FARTRIGO_RENATA;SPO_OMO;0,0109;0,4239;6,0107;0,0091;1,6135;0,3534;11,2937;4,4857;
FARTRIGO_RENATA,LEITE_MOCA;ACUCAR_UNIAO;0,0158;0,5950;6,3932;0,0133;2,2393;0,5019;17,0408;5,9978;
ACUCAR_UNIAO,LEITE_MOCA;FARTRIGO_RENATA;0,0158;0,4449;7,3522;0,0137;1,6925;0,3844;16,4894;5,3412;
ACUCAR_UNIAO,FARTRIGO_RENATA;LEITE_MOCA;0,0158;0,5753;5,7399;0,0131;2,1186;0,4751;14,2502;5,5789;
FEIJAO_BROTO_LEGAL;BISCNESTLE;0,0165;0,3697;2,9320;0,0109;1,3865;0,2436;4,5262;3,2089;
BISCNESTLE;FEIJAO_BROTO_LEGAL;0,0165;0,1307;2,9320;0,0109;1,0991;0,0861;4,5262;2,2002;
IOGBATAVO;BISCNESTLE;0,0117;0,2598;2,0603;0,0060;1,1806;0,1337;2,5794;2,1435;
BISCNESTLE;IOGBATAVO;0,0117;0,0931;2,0603;0,0060;1,0528;0,0479;2,5794;1,5280;
SAL_CISNE;SABLUX;0,0116;0,1875;4,3692;0,0090;1,1779;0,1446;6,6896;2,7737;
SABLUX;SAL_CISNE;0,0116;0,2712;4,3692;0,0090;1,2869;0,2091;6,6896;3,1533;
MACBASILAR;COCA_COLA;0,0109;0,4186;2,1561;0,0059;1,3860;0,2244;3,1069;2,8188;
COCA_COLA;MACBASILAR;0,0109;0,0563;2,1561;0,0059;1,0320;0,0302;3,1069;1,4311;
LEITE_MOCA,SPO_OMO;DETERGYPE;0,0112;0,4018;6,3806;0,0094;1,5665;0,3389;11,9340;4,4971;
DETERGYPE,SPO_OMO;LEITE_MOCA;0,0112;0,5200;5,1879;0,0090;1,8744;0,4198;10,8183;4,7767;
DETERGYPE,LEITE_MOCA;SPO_OMO;0,0112;0,4781;6,7792;0,0095;1,7810;0,4076;14,1572;5,0944;
COCA_COLA;CLIGHT_DIET;0,0103;0,0529;2,0243;0,0052;1,0283;0,0268;2,7817;1,3437;
CLIGHT_DIET;COCA_COLA;0,0103;0,3930;2,0243;0,0052;1,3276;0,1988;2,7817;2,6078;
FARTRIGO_RENATA;ACHOCNESCAU;0,0134;0,2217;3,7707;0,0099;1,2093;0,1629;5,6124;2,7845;
ACHOCNESCAU;FARTRIGO_RENATA;0,0134;0,2282;3,7707;0,0099;1,2172;0,1677;5,6124;2,8133;
